Name,URL,Type,BirthYear,DeathYear
Catherine Tate,https://en.wikipedia.org/wiki/Catherine_Tate,Sketch show/alternative comedians,1968,
Catherine Tyldesley,https://en.wikipedia.org/wiki/Catherine_Tyldesley,Sitcom comedians,1983,
Celia Imrie,https://en.wikipedia.org/wiki/Celia_Imrie,Sitcom comedians,1952,
Charlie Higson,https://en.wikipedia.org/wiki/Charlie_Higson,Sketch show/alternative comedians,1958,
Charlie Naughton,https://en.wikipedia.org/wiki/Charlie_Naughton,Comedy double acts,,
Charlie Wernham,https://en.wikipedia.org/wiki/Charlie_Wernham,Sitcom comedians,1994,
Charlotte Ritchie,https://en.wikipedia.org/wiki/Charlotte_Ritchie,Sitcom comedians,1989,
Chesney Allen,https://en.wikipedia.org/wiki/Chesney_Allen,Comedy double acts,,
Chris Addison,https://en.wikipedia.org/wiki/Chris_Addison,Comedy panel game regulars,,
Chris Barrie,https://en.wikipedia.org/wiki/Chris_Barrie,Impressionists,1960,
Chris Donald,https://en.wikipedia.org/wiki/Chris_Donald,"Cartoonists, caricaturists, etc.",1960,
Chris Langham,https://en.wikipedia.org/wiki/Chris_Langham,Spoof show comedians,,
Chris McCausland,https://en.wikipedia.org/wiki/Chris_McCausland,Stand-up comedians,1977,
Chris Morris,https://en.wikipedia.org/wiki/Chris_Morris_(satirist),Satirists,1962,
Clapham and Dwyer,https://en.wikipedia.org/wiki/Clapham_and_Dwyer,Variety and music hall comedians,,
Clement Freud,https://en.wikipedia.org/wiki/Clement_Freud,Comedy panel game regulars,,
Clive Anderson,https://en.wikipedia.org/wiki/Clive_Anderson,Comedy panel game regulars,,
Collinson and Dean,https://en.wikipedia.org/wiki/Collinson_and_Dean,Variety and music hall comedians,,
Craig Charles,https://en.wikipedia.org/wiki/Craig_Charles,Stand-up comedians,1964,
Crazy Gang,https://en.wikipedia.org/wiki/Crazy_Gang_(comedy_group),Comedy double acts,,
Daisy May Cooper,https://en.wikipedia.org/wiki/Daisy_May_Cooper,Comedy panel game regulars,,
Daniel Howell,https://en.wikipedia.org/wiki/Daniel_Howell,Blog and internet humourists,,
Daniel Kitson,https://en.wikipedia.org/wiki/Daniel_Kitson,Stand-up comedians,1977,
Daniel Lawrence Taylor,https://en.wikipedia.org/wiki/Daniel_Lawrence_Taylor,Comedy double acts,,
Daniel Sloss,https://en.wikipedia.org/wiki/Daniel_Sloss,Stand-up comedians,1990,
Danny Bhoy,https://en.wikipedia.org/wiki/Danny_Bhoy,Stand-up comedians,1974,
Danny John-Jules,https://en.wikipedia.org/wiki/Danny_John-Jules,Sitcom comedians,1960,
Dave Gorman,https://en.wikipedia.org/wiki/Dave_Gorman,Stand-up comedians,1971,
Dave Lamb,https://en.wikipedia.org/wiki/Dave_Lamb,Impressionists,,
Dave Thompson,https://en.wikipedia.org/wiki/Dave_Thompson_(comedian),Stand-up comedians,1960,
David Baddiel,https://en.wikipedia.org/wiki/David_Baddiel,Sketch show/alternative comedians,1964,
David Jason,https://en.wikipedia.org/wiki/David_Jason,Sitcom comedians,1940,
David Mitchell,https://en.wikipedia.org/wiki/David_Mitchell_(comedian),Comedy panel game regulars,1974,
David Walliams,https://en.wikipedia.org/wiki/David_Walliams,Sketch show/alternative comedians,1971,
Dawn French,https://en.wikipedia.org/wiki/Dawn_French,Sketch show/alternative comedians,1957,
Debra Stephenson,https://en.wikipedia.org/wiki/Debra_Stephenson,Impressionists,1972,
Declan Donnelly,https://en.wikipedia.org/wiki/Declan_Donnelly,Comedy double acts,,
Derek Nimmo,https://en.wikipedia.org/wiki/Derek_Nimmo,Comedy panel game regulars,,
Diane Morgan,https://en.wikipedia.org/wiki/Diane_Morgan,Comedy panel game regulars,1975,
Doc Brown,https://en.wikipedia.org/wiki/Doc_Brown_(rapper),Stand-up comedians,1977,
Dom Joly,https://en.wikipedia.org/wiki/Dom_Joly,Sketch show/alternative comedians,1967,
Dominic Holland,https://en.wikipedia.org/wiki/Dominic_Holland,Stand-up comedians,1967,
Don Juan,https://en.wikipedia.org/wiki/Don_Juan_(Byron),Comedy double acts,,
Donald Swann,https://en.wikipedia.org/wiki/Donald_Swann,Comedy double acts,,
Doon Mackichan,https://en.wikipedia.org/wiki/Doon_Mackichan,Sketch show/alternative comedians,1962,
Dudley Moore,https://en.wikipedia.org/wiki/Dudley_Moore,Comedy double acts,,
Duncan Preston,https://en.wikipedia.org/wiki/Duncan_Preston,Sitcom comedians,1946,
Earl Okin,https://en.wikipedia.org/wiki/Earl_Okin,Musical comedians,1947,
Ed Gamble,https://en.wikipedia.org/wiki/Ed_Gamble,Stand-up comedians,1986,
Eddie Large,https://en.wikipedia.org/wiki/Eddie_Large,Comedy double acts,,
Edwyn Collins,https://en.wikipedia.org/wiki/Edwyn_Collins,Musical comedians,1959,
Eleanor Bron,https://en.wikipedia.org/wiki/Eleanor_Bron,Satirists,1938,
Eleanor Morton,https://en.wikipedia.org/wiki/Eleanor_Morton_(comedian),Stand-up comedians,,
Elis James,https://en.wikipedia.org/wiki/Elis_James,Comedy panel game regulars,,
Ellie Taylor,https://en.wikipedia.org/wiki/Ellie_Taylor,Stand-up comedians,1983,
Ellie White,https://en.wikipedia.org/wiki/Ellie_White,Sketch show/alternative comedians,1989,
Elsie and Doris Waters,https://en.wikipedia.org/wiki/Elsie_and_Doris_Waters,Variety and music hall comedians,,
Emily Atack,https://en.wikipedia.org/wiki/Emily_Atack,Sitcom comedians,1989,
Eric Idle,https://en.wikipedia.org/wiki/Eric_Idle,Sketch show/alternative comedians,1943,
Eric Morecambe,https://en.wikipedia.org/wiki/Eric_Morecambe,Comedy double acts,,
Ernie Wise,https://en.wikipedia.org/wiki/Ernie_Wise,Comedy double acts,,
Eros Vlahos,https://en.wikipedia.org/wiki/Eros_Vlahos,Stand-up comedians,1995,
Faith Brown,https://en.wikipedia.org/wiki/Faith_Brown,Impressionists,1944,
Fayne and Evans,https://en.wikipedia.org/wiki/Fayne_and_Evans,Variety and music hall comedians,,
Fiona Allen,https://en.wikipedia.org/wiki/Fiona_Allen,Sketch show/alternative comedians,1965,
First World War,https://en.wikipedia.org/wiki/First_World_War,Comedy double acts,,
Flo and Joan,https://en.wikipedia.org/wiki/Flo_and_Joan,Musical comedians,,
Francesca Martinez,https://en.wikipedia.org/wiki/Francesca_Martinez,Stand-up comedians,1978,
