Name,URL,Type,BirthYear,DeathYear,PageLength,Age,Gender,Birthplace,BirthplaceLat,BirthplaceLon,DistanceFromTeddington
Alistair McGowan,https://en.wikipedia.org/wiki/Alistair_McGowan,Impressionists,1964,,14801,61.0,Male,"Evesham, Worcestershire",52.0940158,-1.9483083,134.26
Amelia Dimoldenberg,https://en.wikipedia.org/wiki/Amelia_Dimoldenberg,Blog and internet humourists,,,11341,,Female,"London, England",51.5074456,-0.1277653,16.85
Andi Osho,https://en.wikipedia.org/wiki/Andi_Osho,Stand-up comedians,1973,,6284,52.0,Female,Plaistow,51.5311544,0.0166833,26.89
Andre Vincent,https://en.wikipedia.org/wiki/Andre_Vincent,Stand-up comedians,1964,,7473,61.0,Male,"Penge, England",51.4137657,-0.0516671,19.44
Andrew Lawrence,https://en.wikipedia.org/wiki/Andrew_Lawrence_(comedian),Stand-up comedians,1979,,7691,46.0,Male,,,,
Andrew O'Neill,https://en.wikipedia.org/wiki/Andrew_O%27Neill,Stand-up comedians,1979,,4927,46.0,,"Portsmouth, England",50.800031,-1.0906023,87.51
Andy Hamilton,https://en.wikipedia.org/wiki/Andy_Hamilton,Comedy panel game regulars,,,5338,,Male,"Fulham, London",51.4808834,-0.1943493,11.37
Andy Parsons,https://en.wikipedia.org/wiki/Andy_Parsons,Comedy panel game regulars,,,6383,,Male,"Weymouth, England",50.6096257,-2.4543424,174.42
Andy Zaltzman,https://en.wikipedia.org/wiki/Andy_Zaltzman,Stand-up comedians,1974,,13007,51.0,Male,"Andrew Zaltzman   [citation needed]London, England",,,
Angela Barnes,https://en.wikipedia.org/wiki/Angela_Barnes,Stand-up comedians,1976,,8406,49.0,Female,"Sidcup, London, England",51.4340208,0.1034297,30.2
Angus Deayton,https://en.wikipedia.org/wiki/Angus_Deayton,Comedy panel game regulars,1956,,13167,69.0,Male,Banstead,51.3238969,-0.1986813,14.47
Anil Gupta,https://en.wikipedia.org/wiki/Anil_Gupta_(writer),Sketch show/alternative comedians,,,893,,Male,,,,
Anjana Vasan,https://en.wikipedia.org/wiki/Anjana_Vasan,Sitcom comedians,1987,,6423,38.0,Female,"Madras, Tamil Nadu, India",13.0836939,80.270186,8231.42
Anne Reid,https://en.wikipedia.org/wiki/Anne_Reid,Sitcom comedians,1935,,17844,90.0,Female,"Jesmond, Newcastle upon Tyne",54.9914956,-1.6057608,406.0
Anthony McPartlin,https://en.wikipedia.org/wiki/Anthony_McPartlin,Comedy double acts,,,12457,,Male,Newcastle upon Tyne,54.9738474,-1.6131572,404.19
Arabella Weir,https://en.wikipedia.org/wiki/Arabella_Weir,Sketch show/alternative comedians,1957,,12845,68.0,Female,"San Francisco, California",37.7792588,-122.4193286,8635.4
Armando Iannucci,https://en.wikipedia.org/wiki/Armando_Iannucci,Satirists,1963,,25795,62.0,Male,Glasgow,55.861155,-4.2501687,557.5
Arthur Marshall,https://en.wikipedia.org/wiki/Arthur_Marshall_(broadcaster),Comedy panel game regulars,,,10477,,Male,"MBE, Barnes, London, BBC, Call My Bluff",,,
Athena Kugblenu,https://en.wikipedia.org/wiki/Athena_Kugblenu,Comedy panel game regulars,,,4025,,Female,"London, England",51.5074456,-0.1277653,16.85
Ava Vidal,https://en.wikipedia.org/wiki/Ava_Vidal,Stand-up comedians,1976,,3904,49.0,Female,"Lambeth, London, England",51.4955481,-0.1200826,16.64
Babatunde Aleshe,https://en.wikipedia.org/wiki/Babatunde_Aleshe,Stand-up comedians,,,3302,,Male,"London, England",51.5074456,-0.1277653,16.85
Barry Cryer,https://en.wikipedia.org/wiki/Barry_Cryer,Comedy panel game regulars,,,13630,,Male,"Leeds, West Riding of Yorkshire",54.0813547,-0.1952885,295.81
Barry Took,https://en.wikipedia.org/wiki/Barry_Took,Comedy panel game regulars,,,5952,,Male,"Wood Green, London, England",51.597416,-0.1097795,24.61
Belinda Lang,https://en.wikipedia.org/wiki/Belinda_Lang,Sitcom comedians,1953,,6772,72.0,Female,Marylebone,51.5196374,-0.1519627,16.32
Ben Croshaw,https://en.wikipedia.org/wiki/Ben_Croshaw,Blog and internet humourists,,,27930,,Male,"Rugby, Warwickshire, England",52.3726682,-1.2620038,123.46
Ben Elton,https://en.wikipedia.org/wiki/Ben_Elton,Stand-up comedians,1959,,27849,66.0,Male,"Fitzrovia, London",51.5242031,-0.1330007,17.66
Ben Miles,https://en.wikipedia.org/wiki/Ben_Miles,Sitcom comedians,1966,,7469,59.0,Male,"Wimbledon, London",51.4220721,-0.2052902,8.72
Ben Miller,https://en.wikipedia.org/wiki/Ben_Miller,Sketch show/alternative comedians,1966,,16365,59.0,Male,"Bennet Evan Miller   
[1]London, England[1]",,,
Ben Willbond,https://en.wikipedia.org/wiki/Ben_Willbond,Sitcom comedians,1973,,6286,52.0,Male,"Biggleswade, Bedfordshire, England",52.0882012,-0.2589013,74.02
Bennett Arron,https://en.wikipedia.org/wiki/Bennett_Arron,Stand-up comedians,1973,,4326,52.0,Male,Welsh,52.2928116,-3.73893,253.88
Bethany Black,https://en.wikipedia.org/wiki/Bethany_Black,Stand-up comedians,1978,,9407,47.0,Female,"Chorley, Lancashire, England",53.6531915,-2.6294313,292.95
Bill Bailey,https://en.wikipedia.org/wiki/Bill_Bailey,Stand-up comedians,1964,,31259,61.0,Male,"Keynsham, Somerset",51.4151754,-2.4983133,150.79
Bill Nighy,https://en.wikipedia.org/wiki/Bill_Nighy,Film,1949,,31821,76.0,Male,"Caterham, Surrey",51.2822001,-0.077248,23.7
Bill Oddie,https://en.wikipedia.org/wiki/Bill_Oddie,Sketch show/alternative comedians,1941,,29206,84.0,Male,"Rochdale, Lancashire, England",53.6673085,-2.3015062,283.12
Billy Caryll and Hilda Mundy,https://en.wikipedia.org/wiki/Billy_Caryll_and_Hilda_Mundy,Variety and music hall comedians,,,2977,,Male,"Southwark, London, England",51.504176,-0.1071125,17.89
Billy Connolly,https://en.wikipedia.org/wiki/Billy_Connolly,Stand-up comedians,1942,,66391,83.0,Male,"Anderston, Glasgow",55.8597478,-4.2701138,557.97
Blake Harrison,https://en.wikipedia.org/wiki/Blake_Harrison,Sitcom comedians,1985,,4365,40.0,Male,"Peckham, London, England",51.4700059,-0.0694125,18.85
Bob Golding,https://en.wikipedia.org/wiki/Bob_Golding,Comedy double acts,,,4535,,Male,,,,
Bob Mortimer,https://en.wikipedia.org/wiki/Bob_Mortimer,Sketch show/alternative comedians,1959,,16658,66.0,Male,Middlesbrough,54.5760419,-1.2344047,355.94
Bobby Ball,https://en.wikipedia.org/wiki/Bobby_Ball,Comedy double acts,,,11609,,Male,"Robert HarperOldham, Lancashire, England",,,
Bobby Davro,https://en.wikipedia.org/wiki/Bobby_Davro,Impressionists,1958,,10058,67.0,Male,"Ashford, Middlesex",40.3260206,-74.5600555,5638.27
Boothby Graffoe,https://en.wikipedia.org/wiki/Boothby_Graffoe_(comedian),Stand-up comedians,1962,,7108,63.0,Male,,,,
Brian Conley,https://en.wikipedia.org/wiki/Brian_Conley,Sketch show/alternative comedians,1961,,14091,64.0,Male,"Paddington, London",51.5161629,-0.1744856,14.9
Brian Murphy,https://en.wikipedia.org/wiki/Brian_Murphy_(actor),Sitcom comedians,1933,,8124,92.0,Male,"Ventnor, Isle of Wight",50.594976,-1.2029747,110.74
Bridget Christie,https://en.wikipedia.org/wiki/Bridget_Christie,Stand-up comedians,1971,,13097,54.0,Female,Gloucester,51.8653705,-2.2458192,141.35
Bud Flanagan,https://en.wikipedia.org/wiki/Bud_Flanagan,Comedy double acts,,,8881,,Male,"Whitechapel, London",51.5197615,-0.0600874,21.58
Cariad Lloyd,https://en.wikipedia.org/wiki/Cariad_Lloyd,Comedy panel game regulars,,,8022,,Female,London,51.5074456,-0.1277653,16.85
Caroline Quentin,https://en.wikipedia.org/wiki/Caroline_Quentin,Sitcom comedians,1960,,13568,65.0,Female,Reigate,51.2376557,-0.2057067,22.53
Catherine Tate,https://en.wikipedia.org/wiki/Catherine_Tate,Sketch show/alternative comedians,1968,,59291,57.0,Female,"Bloomsbury, London",51.5242031,-0.1330007,17.66
Catherine Tyldesley,https://en.wikipedia.org/wiki/Catherine_Tyldesley,Sitcom comedians,1983,,13572,42.0,Female,Walkden,53.5242276,-2.3984426,272.63
Celia Imrie,https://en.wikipedia.org/wiki/Celia_Imrie,Sitcom comedians,1952,,18665,73.0,Female,"Guildford, Surrey",51.2356068,-0.5732063,26.96
Charlie Higson,https://en.wikipedia.org/wiki/Charlie_Higson,Sketch show/alternative comedians,1958,,8549,67.0,Male,"Frome, Somerset",51.2294852,-2.3198467,140.34
Charlie Naughton,https://en.wikipedia.org/wiki/Charlie_Naughton,Comedy double acts,,,1488,,Male,"Charles John NaughtonGlasgow, Scotland",,,
Charlie Wernham,https://en.wikipedia.org/wiki/Charlie_Wernham,Sitcom comedians,1994,,4979,31.0,Male,"Billericay, England",51.6245474,0.4167616,56.45
Charlotte Ritchie,https://en.wikipedia.org/wiki/Charlotte_Ritchie,Sitcom comedians,1989,,6308,36.0,Female,"Clapham, London, England",51.4644589,-0.1705184,11.99
Chesney Allen,https://en.wikipedia.org/wiki/Chesney_Allen,Comedy double acts,,,3442,,Male,Battersea,51.4707933,-0.172214,12.16
Chris Addison,https://en.wikipedia.org/wiki/Chris_Addison,Comedy panel game regulars,,,13009,,Male,Cardiff,51.4816546,-3.1791934,198.1
Chris Barrie,https://en.wikipedia.org/wiki/Chris_Barrie,Impressionists,1960,,8919,65.0,Male,Hanover,52.3744779,9.7385532,700.5
Chris Donald,https://en.wikipedia.org/wiki/Chris_Donald,"Cartoonists, caricaturists, etc.",1960,,2510,65.0,Male,,,,
Chris Langham,https://en.wikipedia.org/wiki/Chris_Langham,Spoof show comedians,,,15465,,Male,"Christopher Langham   [citation needed]London, England",,,
Chris McCausland,https://en.wikipedia.org/wiki/Chris_McCausland,Stand-up comedians,1977,,11284,48.0,Male,Liverpool,53.4071991,-2.99168,285.38
Chris Morris,https://en.wikipedia.org/wiki/Chris_Morris_(satirist),Satirists,1962,,24376,63.0,Male,"Buckden, Cambridgeshire, England",52.2965726,-0.2517052,97.19
Clapham and Dwyer,https://en.wikipedia.org/wiki/Clapham_and_Dwyer,Variety and music hall comedians,,,4412,,Male,"Clapham and Dwyer were a British comedy duo popular in the s and s, comprising Charlie Clapham  and Bill Dwyer .",,,
Clement Freud,https://en.wikipedia.org/wiki/Clement_Freud,Comedy panel game regulars,,,17281,,Male,"Berlin, German Reich",,,
Clive Anderson,https://en.wikipedia.org/wiki/Clive_Anderson,Comedy panel game regulars,,,9758,,Male,"Stanmore, London",51.6188526,-0.3026271,21.72
Collinson and Dean,https://en.wikipedia.org/wiki/Collinson_and_Dean,Variety and music hall comedians,,,3171,,Male,Collinson and Dean were a British comedy double act popular during the s and s.  They were Will Collinson,,,
Craig Charles,https://en.wikipedia.org/wiki/Craig_Charles,Stand-up comedians,1964,,29280,61.0,Male,Liverpool,53.4071991,-2.99168,285.38
Crazy Gang,https://en.wikipedia.org/wiki/Crazy_Gang_(comedy_group),Comedy double acts,,,6370,,,,,,
Daisy May Cooper,https://en.wikipedia.org/wiki/Daisy_May_Cooper,Comedy panel game regulars,,,7984,,Female,"Basingstoke, Hampshire, England",51.262826,-1.0861976,55.63
Daniel Howell,https://en.wikipedia.org/wiki/Daniel_Howell,Blog and internet humourists,,,30981,,Male,"Daniel James Howell   Wokingham, Berkshire, England",,,
Daniel Kitson,https://en.wikipedia.org/wiki/Daniel_Kitson,Stand-up comedians,1977,,13638,48.0,Male,"Denby Dale, Yorkshire, England",53.5728721,-1.663204,255.62
Daniel Lawrence Taylor,https://en.wikipedia.org/wiki/Daniel_Lawrence_Taylor,Comedy double acts,,,2293,,Male,"Daniel Lawrence Taylor is a British actor, comedy writer, and producer.",,,
Daniel Sloss,https://en.wikipedia.org/wiki/Daniel_Sloss,Stand-up comedians,1990,,15972,35.0,Male,"Kingston upon Thames, England",51.4096275,-0.3062621,2.36
Danny Bhoy,https://en.wikipedia.org/wiki/Danny_Bhoy,Stand-up comedians,1974,,4907,51.0,Male,"Moffat, Dumfriesshire, Scotland",55.0761955,-3.5982475,461.12
Danny John-Jules,https://en.wikipedia.org/wiki/Danny_John-Jules,Sitcom comedians,1960,,10196,65.0,Male,"Jules   Paddington, London, England",,,
Dave Gorman,https://en.wikipedia.org/wiki/Dave_Gorman,Stand-up comedians,1971,,28269,54.0,Male,Stafford,38.4167265,-77.4579783,5965.78
Dave Lamb,https://en.wikipedia.org/wiki/Dave_Lamb,Impressionists,,,7265,,Male,Westminster,51.5004439,-0.1265398,16.51
Dave Thompson,https://en.wikipedia.org/wiki/Dave_Thompson_(comedian),Stand-up comedians,1960,,2059,65.0,Male,"David Thompson   Bristol, England",,,
David Baddiel,https://en.wikipedia.org/wiki/David_Baddiel,Sketch show/alternative comedians,1964,,27292,61.0,Male,"Troy, New York",42.7284117,-73.6917878,5416.65
David Jason,https://en.wikipedia.org/wiki/David_Jason,Sitcom comedians,1940,,18232,85.0,Male,"Edmonton, Middlesex",51.6165556,-0.0788815,27.61
David Mitchell,https://en.wikipedia.org/wiki/David_Mitchell_(comedian),Comedy panel game regulars,1974,,41604,51.0,Male,"Salisbury, Wiltshire",51.0690613,-1.7954134,109.65
David Walliams,https://en.wikipedia.org/wiki/David_Walliams,Sketch show/alternative comedians,1971,,55917,54.0,Male,"David Edward Williams   London, England",,,
Dawn French,https://en.wikipedia.org/wiki/Dawn_French,Sketch show/alternative comedians,1957,,29114,68.0,Female,Holyhead,53.3106715,-4.6330966,360.37
Debra Stephenson,https://en.wikipedia.org/wiki/Debra_Stephenson,Impressionists,1972,,12760,53.0,Female,"Hull, Yorkshire",53.7623863,-0.3301214,260.17
Declan Donnelly,https://en.wikipedia.org/wiki/Declan_Donnelly,Comedy double acts,,,13224,,Male,Newcastle upon Tyne,54.9738474,-1.6131572,404.19
Derek Nimmo,https://en.wikipedia.org/wiki/Derek_Nimmo,Comedy panel game regulars,,,9484,,Male,"Liverpool, Lancashire",53.6443219,-2.8167292,299.1
Diane Morgan,https://en.wikipedia.org/wiki/Diane_Morgan,Comedy panel game regulars,1975,,14449,50.0,Female,"Farnworth, Greater Manchester, England",53.5485989,-2.3969984,274.89
Doc Brown,https://en.wikipedia.org/wiki/Doc_Brown_(rapper),Stand-up comedians,1977,,8171,48.0,Male,London,51.5074456,-0.1277653,16.85
Dom Joly,https://en.wikipedia.org/wiki/Dom_Joly,Sketch show/alternative comedians,1967,,9770,58.0,Male,Beirut,33.8892265,35.5025585,3472.06
Dominic Holland,https://en.wikipedia.org/wiki/Dominic_Holland,Stand-up comedians,1967,,9471,58.0,Male,London,51.5074456,-0.1277653,16.85
Don Juan,https://en.wikipedia.org/wiki/Don_Juan_(Byron),Comedy double acts,,,31905,,Male,,,,
Donald Swann,https://en.wikipedia.org/wiki/Donald_Swann,Comedy double acts,,,9877,,Male,Llanelli,51.6797331,-4.1620223,267.24
Doon Mackichan,https://en.wikipedia.org/wiki/Doon_Mackichan,Sketch show/alternative comedians,1962,,6601,63.0,Female,"London, England",51.5074456,-0.1277653,16.85
Dudley Moore,https://en.wikipedia.org/wiki/Dudley_Moore,Comedy double acts,,,30133,,Male,Charing Cross,51.5074975,-0.1236888,17.09
Duncan Preston,https://en.wikipedia.org/wiki/Duncan_Preston,Sitcom comedians,1946,,3330,79.0,Male,"Bradford, West Riding of Yorkshire",,,
Earl Okin,https://en.wikipedia.org/wiki/Earl_Okin,Musical comedians,1947,,4789,78.0,Male,"Surrey, England",51.2715316,-0.3414524,17.02
Ed Gamble,https://en.wikipedia.org/wiki/Ed_Gamble,Stand-up comedians,1986,,10851,39.0,Male,Hammersmith,51.4920377,-0.2236401,10.58
Eddie Large,https://en.wikipedia.org/wiki/Eddie_Large,Comedy double acts,,,5301,,Male,"Edward Hugh McGinnisGlasgow, Scotland",,,
Edwyn Collins,https://en.wikipedia.org/wiki/Edwyn_Collins,Musical comedians,1959,,20025,66.0,Male,Edinburgh,55.9533456,-3.1883749,538.15
Eleanor Bron,https://en.wikipedia.org/wiki/Eleanor_Bron,Satirists,1938,,15219,87.0,Female,"Stanmore, Middlesex, England",51.6188526,-0.3026271,21.72
Eleanor Morton,https://en.wikipedia.org/wiki/Eleanor_Morton_(comedian),Stand-up comedians,,,4907,,Female,"Eleanor Morton is a Scottish comedian, actor, and writer.[2]",,,
Elis James,https://en.wikipedia.org/wiki/Elis_James,Comedy panel game regulars,,,14822,,Male,Haverfordwest,51.8021275,-4.9684249,323.93
Ellie Taylor,https://en.wikipedia.org/wiki/Ellie_Taylor,Stand-up comedians,1983,,9408,42.0,Female,"Eleanor TaylorBrentwood, Essex, England",,,
Ellie White,https://en.wikipedia.org/wiki/Ellie_White,Sketch show/alternative comedians,1989,,3733,36.0,Female,"Oxford, England",51.7520131,-1.2578499,73.88
Elsie and Doris Waters,https://en.wikipedia.org/wiki/Elsie_and_Doris_Waters,Variety and music hall comedians,,,9180,,Female,Bromley-by-Bow,51.5246287,-0.0123189,24.77
Emily Atack,https://en.wikipedia.org/wiki/Emily_Atack,Sitcom comedians,1989,,8164,36.0,Female,"Luton, Bedfordshire",52.0640034,-0.4111138,71.38
Eric Idle,https://en.wikipedia.org/wiki/Eric_Idle,Sketch show/alternative comedians,1943,,34771,82.0,Male,"South Shields, England",54.9987414,-1.4321848,404.53
Eric Morecambe,https://en.wikipedia.org/wiki/Eric_Morecambe,Comedy double acts,,,19108,,Male,Morecambe,54.0721085,-2.8650938,340.69
Ernie Wise,https://en.wikipedia.org/wiki/Ernie_Wise,Comedy double acts,,,10176,,Male,"Leeds, West Riding of Yorkshire",54.0813547,-0.1952885,295.81
Eros Vlahos,https://en.wikipedia.org/wiki/Eros_Vlahos,Stand-up comedians,1995,,2239,30.0,Male,"London, England",51.5074456,-0.1277653,16.85
Faith Brown,https://en.wikipedia.org/wiki/Faith_Brown,Impressionists,1944,,5314,81.0,Female,"Liverpool, Merseyside",53.4953602,-2.973938,292.17
Fayne and Evans,https://en.wikipedia.org/wiki/Fayne_and_Evans,Variety and music hall comedians,,,2787,,Male,Fayne and Evans were an English comedy duo who were popular in the late s and s.  They were Tony Fayne,,,
Fiona Allen,https://en.wikipedia.org/wiki/Fiona_Allen,Sketch show/alternative comedians,1965,,2896,60.0,Female,"Bury, Lancashire, England",53.5967222,-2.7208738,291.11
First World War,https://en.wikipedia.org/wiki/First_World_War,Comedy double acts,,,149053,,,,,,
Flo and Joan,https://en.wikipedia.org/wiki/Flo_and_Joan,Musical comedians,,,3560,,Female,,,,
Francesca Martinez,https://en.wikipedia.org/wiki/Francesca_Martinez,Stand-up comedians,1978,,10616,47.0,Female,,,,
Francis Wheen,https://en.wikipedia.org/wiki/Francis_Wheen,Comedy panel game regulars,,,8768,,Male,Francis James Baird Wheen,,,
Frank Muir,https://en.wikipedia.org/wiki/Frank_Muir,Comedy panel game regulars,,,10746,,Male,Ramsgate,51.3334726,1.4196476,122.28
Frank Skinner,https://en.wikipedia.org/wiki/Frank_Skinner,Stand-up comedians,1957,,19144,68.0,Male,"West Bromwich, Staffordshire",,,
Frankie Boyle,https://en.wikipedia.org/wiki/Frankie_Boyle,Comedy panel game regulars,,,37786,,Male,"Pollokshaws, Scotland",55.8252913,-4.2942737,555.38
Gareth Hale,https://en.wikipedia.org/wiki/Gareth_Hale,Comedy double acts,,,2405,,Male,Gareth Irvin Hale,,,
Gary Delaney,https://en.wikipedia.org/wiki/Gary_Delaney,Stand-up comedians,1973,,5205,52.0,Male,Gary Delaney,41.5787347,-87.3489872,6367.41
Gary Le Strange,https://en.wikipedia.org/wiki/Gary_Le_Strange,Musical comedians,1971,,1110,54.0,Male,,,,
George Logan,https://en.wikipedia.org/wiki/George_Logan_(performer),Comedy double acts,,,10254,,Male,"Rutherglen, Scotland",55.8284315,-4.2134405,553.19
Gerald Scarfe,https://en.wikipedia.org/wiki/Gerald_Scarfe,"Cartoonists, caricaturists, etc.",,,18786,,Male,"Gerald Anthony Scarfe   London, England",,,
Gina Yashere,https://en.wikipedia.org/wiki/Gina_Yashere,Stand-up comedians,1974,,6858,51.0,Female,Bethnal Green,51.5303456,-0.0561633,22.42
Gordon Southern,https://en.wikipedia.org/wiki/Gordon_Southern,Stand-up comedians,,,2044,,Male,,,,
Graeme Garden,https://en.wikipedia.org/wiki/Graeme_Garden,Comedy panel game regulars,1943,,12428,82.0,Male,Aberdeen,57.1482429,-2.0928095,647.32
Graham Fellows,https://en.wikipedia.org/wiki/Graham_Fellows,Musical comedians,1959,,13722,66.0,Male,"Sheffield, West Riding of Yorkshire",,,
Greg Davies,https://en.wikipedia.org/wiki/Greg_Davies,Stand-up comedians,1968,,10641,57.0,Male,"St Asaph, Flintshire",53.3221794,-3.3428746,294.37
Greg McHugh,https://en.wikipedia.org/wiki/Greg_McHugh,Sitcom comedians,1980,,4490,45.0,Male,"Edinburgh, Scotland",55.9533456,-3.1883749,538.15
Gregor Fisher,https://en.wikipedia.org/wiki/Gregor_Fisher,Sketch show/alternative comedians,1953,,4624,72.0,Male,"Menstrie, Clackmannanshire, Scotland",56.1514168,-3.8537721,574.9
Griff Rhys Jones,https://en.wikipedia.org/wiki/Griff_Rhys_Jones,Sketch show/alternative comedians,1953,,22145,72.0,Male,Cardiff,51.4816546,-3.1791934,198.1
Harriet Braine,https://en.wikipedia.org/wiki/Harriet_Braine,Musical comedians,,,3984,,Female,"Funny Women Awards, Ellie Taylor",,,
Harry Enfield,https://en.wikipedia.org/wiki/Harry_Enfield,Comedy panel game regulars,1961,,14902,64.0,Male,"Horsham, Sussex",51.0630273,-0.3295028,40.2
Harry Hill,https://en.wikipedia.org/wiki/Harry_Hill,Sketch show/alternative comedians,1964,,23441,61.0,Male,"Matthew Keith Hall   Woking, Surrey, England",,,
Haver and Lee,https://en.wikipedia.org/wiki/Haver_and_Lee,Variety and music hall comedians,,,5942,,Male,Frank Mendoza Jr,,,
Helen Atkinson-Wood,https://en.wikipedia.org/wiki/Helen_Atkinson-Wood,Sitcom comedians,1955,,5460,70.0,Female,,,,
Helen Lederer,https://en.wikipedia.org/wiki/Helen_Lederer,Sitcom comedians,1954,,10642,71.0,Female,"Carmarthen, Wales",51.8591257,-4.3115907,279.76
Henry Naylor,https://en.wikipedia.org/wiki/Henry_Naylor,Comedy double acts,,,8791,,Male,Henry James Naylor,,,
Henry Normal,https://en.wikipedia.org/wiki/Henry_Normal,Poets with a comedic bent,,,5451,,Male,Nottingham,52.9534193,-1.1496461,179.12
Hinge and Bracket,https://en.wikipedia.org/wiki/Hinge_and_Bracket,Musical comedians,,,11303,,,,,,
Holly Walsh,https://en.wikipedia.org/wiki/Holly_Walsh,Stand-up comedians,1980,,4878,45.0,Female,"Guildford, England",51.2356068,-0.5732063,26.96
Hugh Dennis,https://en.wikipedia.org/wiki/Hugh_Dennis,Comedy panel game regulars,1962,,11944,63.0,Male,"Kettering, Northamptonshire",52.3994233,-0.728004,111.88
Hugh Laurie,https://en.wikipedia.org/wiki/Hugh_Laurie,Sketch show/alternative comedians,1959,,34809,66.0,Male,"Blackbird Leys, Oxfordshire",51.7215476,-1.1976584,68.6
Hugo Speer,https://en.wikipedia.org/wiki/Hugo_Speer,Comedy double acts,,,5960,,Male,"Harrogate, West Riding of Yorkshire",,,
Humphrey Ker,https://en.wikipedia.org/wiki/Humphrey_Ker,Sitcom comedians,1982,,10007,43.0,Male,"London, England",51.5074456,-0.1277653,16.85
Humphrey Lyttelton,https://en.wikipedia.org/wiki/Humphrey_Lyttelton,Comedy panel game regulars,,,19865,,Male,Eton College,51.494204,-0.6063262,20.68
Ian Hislop,https://en.wikipedia.org/wiki/Ian_Hislop,Comedy panel game regulars,1960,,22766,65.0,Male,"Mumbles, Swansea",51.5722675,-3.9945034,254.94
Ian Stone,https://en.wikipedia.org/wiki/Ian_Stone,Stand-up comedians,1963,,1982,62.0,Male,"Mock the Week, Fighting Talk, The Jam",,,
Ikenna Azuike,https://en.wikipedia.org/wiki/Ikenna_Azuike,Satirists,1979,,4817,46.0,Male,"Surulere, Lagos, Nigeria",6.4855737,3.3539907,4993.75
Ingrid Oliver,https://en.wikipedia.org/wiki/Ingrid_Oliver,Comedy double acts,,,4220,,Female,,,,
Isy Suttie,https://en.wikipedia.org/wiki/Isy_Suttie,Comedy panel game regulars,1978,,9693,47.0,Female,Hull,53.7623863,-0.3301214,260.17
Ivo Graham,https://en.wikipedia.org/wiki/Ivo_Graham,Stand-up comedians,1990,,6581,35.0,Male,"Ivo Charles GrahamTokyo, Japan",,,
Ivor Biggun,https://en.wikipedia.org/wiki/Doc_Cox,Musical comedians,1946,,3339,79.0,Male,,,,
Jack Binstead,https://en.wikipedia.org/wiki/Jack_Binstead,Sitcom comedians,1996,,1059,29.0,Male,London,51.5074456,-0.1277653,16.85
Jack Davenport,https://en.wikipedia.org/wiki/Jack_Davenport,Sitcom comedians,1973,,5889,52.0,Male,"Wimbledon, London",51.4220721,-0.2052902,8.72
Jack Dee,https://en.wikipedia.org/wiki/Jack_Dee,Stand-up comedians,1961,,14696,64.0,Male,"Bromley, Kent",51.4121288,-0.0453365,19.89
Jack Whitehall,https://en.wikipedia.org/wiki/Jack_Whitehall,Stand-up comedians,1988,,29828,37.0,Male,London,51.5074456,-0.1277653,16.85
Jameela Jamil,https://en.wikipedia.org/wiki/Jameela_Jamil,Sitcom comedians,1986,,39436,39.0,Female,London,51.5074456,-0.1277653,16.85
James Acaster,https://en.wikipedia.org/wiki/James_Acaster,Stand-up comedians,1985,,69393,40.0,Male,"Kettering, Northamptonshire",52.3994233,-0.728004,111.88
James Bachman,https://en.wikipedia.org/wiki/James_Bachman,Sketch show/alternative comedians,,,8282,,Male,"Cuckfield, Sussex, England",51.0055129,-0.1393153,48.48
James Bolam,https://en.wikipedia.org/wiki/James_Bolam,Sitcom comedians,1935,,9043,90.0,Male,"Sunderland, County Durham",54.7341676,-1.5896969,377.86
James Buckley,https://en.wikipedia.org/wiki/James_Buckley_(actor),Sitcom comedians,1987,,13240,38.0,Male,Croydon,51.3713049,-0.101957,16.97
James Dreyfus,https://en.wikipedia.org/wiki/James_Dreyfus,Sitcom comedians,1968,,5877,57.0,Male,"James Louis de Zogheb Dreyfus   London, England",,,
James Fleet,https://en.wikipedia.org/wiki/James_Fleet,Sitcom comedians,1952,,10760,73.0,Male,Bilston,52.5700229,-2.0822333,175.27
Jamie Demetriou,https://en.wikipedia.org/wiki/Jamie_Demetriou,Sitcom comedians,1987,,7323,38.0,Male,"London, England",51.5074456,-0.1277653,16.85
Jan Ravens,https://en.wikipedia.org/wiki/Jan_Ravens,Impressionists,1958,,5321,67.0,Female,"Janet Ravens   Bebington, England",,,
Jane Horrocks,https://en.wikipedia.org/wiki/Jane_Horrocks,Sitcom comedians,1964,,11775,61.0,Female,"Rawtenstall, Lancashire",53.7012824,-2.2862723,285.95
Jane Leeves,https://en.wikipedia.org/wiki/Jane_Leeves,Sitcom comedians,1961,,7637,64.0,Female,"Ilford, Essex",51.5769867,0.0948548,34.07
Janice Connolly,https://en.wikipedia.org/wiki/Janice_Connolly,Stand-up comedians,1954,,7302,71.0,Female,"Stockport, Cheshire, England",,,
Jason Manford,https://en.wikipedia.org/wiki/Jason_Manford,Stand-up comedians,1981,,17751,44.0,Male,Salford,53.4877463,-2.2891921,265.39
Jasper Carrott,https://en.wikipedia.org/wiki/Jasper_Carrott,Stand-up comedians,1945,,13027,80.0,Male,Birmingham,52.4796992,-1.9026911,159.58
Jay Foreman,https://en.wikipedia.org/wiki/Jay_Foreman_(comedian),Musical comedians,,,7820,,Male,"Stanmore, London, England",51.6188526,-0.3026271,21.72
