Name,Probability
Jack Turner,0.004017609418410861
Darren Bent,0.003828545445779761
Ryan Bertrand,0.0035449494868331124
Sam Williams,0.0034504175005175626
Wayne Brown,0.0034504175005175626
Paul Robinson,0.003261353527886463
Joe Cole,0.003261353527886463
Paul Konchesky,0.003261353527886463
Carlton Cole,0.003261353527886463
Ashley Cole,0.003261353527886463
Kieran Richardson,0.003261353527886463
Shaun Wright-Phillips,0.003261353527886463
Scott Parker,0.003261353527886463
Glen Johnson,0.003261353527886463
Lee Cook,0.0031195555484131382
Robert Green,0.0031195555484131382
Tommy Smith,0.0028832255826242645
Adam Barrett,0.0028832255826242645
John Terry,0.0028832255826242645
Dave Beasant,0.0028832255826242645
Frank Lampard,0.0028832255826242645
Ben Watson,0.00283595958946649
Jimmy Smith,0.00283595958946649
Theo Walcott,0.00283595958946649
Kieran Gibbs,0.00283595958946649
Jake Cole,0.00283595958946649
Charlie Lee,0.00283595958946649
Gary Cahill,0.0028265063908349346
Daniel Sturridge,0.0028265063908349346
Jack Smith,0.0027886935963087147
Bobby Zamora,0.0027886935963087147
Ryan Smith,0.00274142760315094
Jordan Spence,0.00274142760315094
Danny Drinkwater,0.002731974404519385
Jermain Defoe,0.002552363630519841
Rio Ferdinand,0.002552363630519841
Dan Thompson,0.002552363630519841
Matthew Parsons,0.002552363630519841
Wayne Bridge,0.0025429104318882853
Kelvin Davis,0.0025429104318882853
Michael Dobson,0.0025240040346251763
Nicky Bailey,0.002457831644204291
Luke Oliver,0.0024578316442042908
Zat Knight,0.0024483784455727356
Andrew Johnson,0.0024483784455727356
Richard Lee,0.0024483784455727356
Jack Wilshere,0.0023632996578887414
Jay Simpson,0.0023632996578887414
Huw Johnson,0.002297127267467857
Chris Perry,0.0022971272674678564
Ryan Mason,0.002268767671573192
Michael Clark,0.002268767671573192
Ashlee Jones,0.0021742356852576424
Danny Mills,0.0021742356852576424
Jon Stewart,0.0021742356852576424
Ben Williamson,0.0021742356852576424
Luke Young,0.0021742356852576424
Fraizer Campbell,0.0021175164934683125
Tom Clarke,0.0021175164934683125
Matthew Jarvis,0.0021175164934683125
Aaron Lennon,0.0021175164934683125
Brandon Hall,0.0020797036989420926
Alex Smith,0.0020797036989420926
Jordaan Brown,0.0020797036989420926
Billy Jones,0.0020797036989420926
Glenn Wilson,0.0020797036989420926
Danny Rose,0.0020229845071527627
Glenn Hoddle,0.002013531308521207
Paul Robinson,0.001985171712626543
Joe Ward,0.001985171712626543
Rory Hill,0.001985171712626543
Charlie Allen,0.001985171712626543
Tom Derry,0.001985171712626543
Jay Bothroyd,0.001985171712626543
Dominic Thomas,0.001985171712626543
Diaz Wright,0.001985171712626543
Jody Morris,0.0019568121167318777
Tom Cleverley,0.0018906397263109935
Jay Smith,0.0018433737331532184
Stewart Downing,0.0018339205345216634
Michael Brown,0.0018339205345216634
Paul Robinson,0.0018339205345216634
Peter Crouch,0.0018339205345216634
Michael Dawson,0.0018339205345216634
Jonathan Woodgate,0.0018339205345216634
Jamie Reynolds,0.0018339205345216634
Richard Wright,0.0018339205345216634
Kevin Davies,0.0018339205345216634
Matt Upson,0.0018339205345216634
Charlie I'Anson,0.0017961077399954437
Lewis Young,0.0017961077399954437
Josh Simpson,0.0017961077399954437
Robert Hall,0.0017961077399954437
George Thorne,0.0017961077399954437
Joe Howe,0.0017961077399954437
Josh Payne,0.0017961077399954437
Garry Richards,0.0017866545413638888
Rhys Evans,0.0017393885482061137
Jermaine Jenas,0.0017393885482061137
Anthony Gardner,0.0017393885482061137
David Wright,0.0017393885482061137
Ben Wright,0.001701575753679894
Michael Carrick,0.001701575753679894
Wayne Brown,0.0016732161577852288
Kenny Sansom,0.0016732161577852288
Andy Clarke,0.0016732161577852288
Dennis Wise,0.0016732161577852288
Warren Barton,0.0016732161577852288
Paul Merson,0.001644856561890564
David Rocastle,0.0016164969659958992
Paul Parker,0.0016164969659958992
Michael Thomas,0.0016164969659958992
Jordan Sanderson,0.0016070437673643446
Mark Wright,0.0016070437673643446
Joe Payne,0.0016070437673643446
Tom Gardiner,0.0016070437673643446
Mark Ricketts,0.0016070437673643444
Ronnie Henry,0.0016070437673643444
Kevin Phillips,0.0016070437673643444
Mark Peters,0.0015597777742065696
John Fashanu,0.0015597777742065696
Byron Moore,0.0015503245755750146
Billy Jones,0.0015503245755750146
Fabian Delph,0.0015503245755750146
Gary Roberts,0.0015503245755750146
David Nugent,0.0015503245755750146
Wayne Rooney,0.0015503245755750146
Junior Brown,0.0015503245755750146
Aidy White,0.0015503245755750146
